listing_media_id,listing_id,media_id,sort_order,is_cover,created_at,deleted_at
listing_media_001_1,rielt_phuket_kata_001,media_rielt_phuket_kata_001_1,0,true,2026-03-17T12:00:00Z,
listing_media_001_2,rielt_phuket_kata_001,media_rielt_phuket_kata_001_2,1,false,2026-03-17T12:00:00Z,
listing_media_001_3,rielt_phuket_kata_001,media_rielt_phuket_kata_001_3,2,false,2026-03-17T12:00:00Z,
listing_media_001_4,rielt_phuket_kata_001,media_rielt_phuket_kata_001_4,3,false,2026-03-17T12:00:00Z,
listing_media_002_1,rielt_phuket_karon_002,media_rielt_phuket_karon_002_1,0,true,2026-03-18T12:00:00Z,
listing_media_002_2,rielt_phuket_karon_002,media_rielt_phuket_karon_002_2,1,false,2026-03-18T12:00:00Z,
listing_media_002_3,rielt_phuket_karon_002,media_rielt_phuket_karon_002_3,2,false,2026-03-18T12:00:00Z,
listing_media_002_4,rielt_phuket_karon_002,media_rielt_phuket_karon_002_4,3,false,2026-03-18T12:00:00Z,
listing_media_003_1,rielt_phuket_rawai_003,media_rielt_phuket_rawai_003_1,0,true,2026-03-19T12:00:00Z,
listing_media_003_2,rielt_phuket_rawai_003,media_rielt_phuket_rawai_003_2,1,false,2026-03-19T12:00:00Z,
listing_media_003_3,rielt_phuket_rawai_003,media_rielt_phuket_rawai_003_3,2,false,2026-03-19T12:00:00Z,
listing_media_003_4,rielt_phuket_rawai_003,media_rielt_phuket_rawai_003_4,3,false,2026-03-19T12:00:00Z,
listing_media_004_1,rielt_bkk_sathon_004,media_rielt_bkk_sathon_004_1,0,true,2026-03-20T12:00:00Z,
listing_media_004_2,rielt_bkk_sathon_004,media_rielt_bkk_sathon_004_2,1,false,2026-03-20T12:00:00Z,
listing_media_004_3,rielt_bkk_sathon_004,media_rielt_bkk_sathon_004_3,2,false,2026-03-20T12:00:00Z,
listing_media_004_4,rielt_bkk_sathon_004,media_rielt_bkk_sathon_004_4,3,false,2026-03-20T12:00:00Z,
